Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,RIC
GSH,BDX,0.161,-4.22,318.303,97.881,,,Industrial & Commercial Services,82,GSHC.SI
GSS Energy,41F,0.046,7.07,28.989,125.953,5.67,,Industrial Goods,84,GSSE.SI
Guoan Intl,G11,0.011,-15.3,67.1,29.371,,,Technology Equipment,,GUOA.SI
GuocoLand,F17,1.66,7.9,1905.231,965.514,4.97,3.73,Real Estate,96,GUOC.SI
H2G Green,5AI,0.018,-12.03,19.786,11.438,,,Cyclical Consumer Products,63,H2GG.SI
Hafary,5VS,0.205,22.24,88.263,141.019,5.23,7.32,Cyclical Consumer Products,82,HFRY.SI
Hai Leck,BLH,0.43,5.64,97.435,81.285,13.95,9.3,Energy - Fossil Fuels,48,HLHL.SI
Halcyon Agri,5VJ,0.395,0.62,630.03,3517.419,109.73,,Automobiles & Auto Parts,97,HALC.SI
Hatten Land,PH0,0.022,-186.3,39,25.185,,,Real Estate,35,HATT.SI
Haw Par,H02,9.62,4.24,2138.417,170.874,15.91,3.11,Pharmaceuticals & Medical Research,99,HPAR.SI
HC Surgical,1B1,0.34,61.27,51.475,19.311,7.93,7.65,Healthcare Services,66,HCSU.SI
HealthBank,40B,0.157,-7.49,14.051,0.045,,,Cyclical Consumer Services,84,HEAL.SI
Healthway Med,5NG,0.037,6.76,172.352,153.5,13.33,,Healthcare Services,100,HEMC.SI
Heatec Jietong,5OR,0.025,-25.67,3.074,18.098,,,Cyclical Consumer Products,57,HTJT.SI
Heeton,5DP,0.285,4.05,139.004,61.404,7.81,1.32,Real Estate,74,HEET.SI
Hengyang Petro,5PD,0.148,-0.28,30.112,0,,,Energy - Fossil Fuels,50,HNYG.SI
HG Metal,BTG,0.37,11.75,50.285,160.996,3.82,10.39,Mineral Resources,46,HGMM.SI
HGH,5GZ,0.014,-4.33,24.932,22.828,,,Mineral Resources,6,HGHH.SI
Hiap Hoe,5JK,0.765,1.55,363.036,97.009,31.14,0.65,Real Estate,92,HIAP.SI
Hiap Tong,5PO,0.07,9.09,21.565,85.224,2.91,,Banking & Investment Services,69,HTCL.SI
HL Global Ent,AVX,0.25,-1.78,23.479,2.458,,,Cyclical Consumer Services,53,HLGE.SI
Ho Bee Land,H13,2.47,9.78,1716.145,368.683,4.32,4.1,Real Estate,54,HBEE.SI
Hock Lian Seng,J2T,0.27,11.2,143.389,147.73,5.83,4.46,Industrial & Commercial Services,55,HLSG.SI
Hoe Leong,H20,0.003,8.21,41.252,44.949,75,,Industrial Goods,49,HLEC.SI
Hong Fok,H30,0.975,2.16,848.847,103.349,15.11,1.03,Real Estate,61,HONG.SI
Hong Lai Huat,CTO,0.067,2.88,34.696,5.635,4.86,2.99,Real Estate,73,HONL.SI
Hong Leong Asia,H22,0.65,6.57,489.904,4190.424,7.91,3.05,Automobiles & Auto Parts,101,HLAA.SI
Hong Leong Fin,S41,2.38,4.36,1062.072,243.837,8.15,5.06,Banking & Investment Services,68,HLSF.SI
HongkongLand USD,H78,4.17,2.37,9286.689,2392.5,11.9,5.28,Real Estate,,HKLD.SI
Hor Kew,BBP,0.29,6.63,15.099,58.841,3.51,,Industrial & Commercial Services,26,HKEW.SI
Hosen,5EV,0.052,5.52,17.87,68.146,10.05,3.64,Food & Drug Retailing,45,HSNG.SI
Hotel Grand,H18,0.88,0.88,672.878,121.548,58.41,1.1,Cyclical Consumer Services,43,HGCS.SI
Hotel Royal,H12,2.05,-2.16,245.549,31.694,,1.22,Cyclical Consumer Services,61,HTRS.SI
Hotung Inv,BLS,1.73,5.3,178.97,28.963,11.47,13.63,Banking & Investment Services,29,HOTU.SI
HPL,H15,3.5,0.88,1805.481,424.081,142.98,1.16,Cyclical Consumer Services,42,HPPS.SI
HRnetGroup,CHZ,0.795,17.93,809.125,629.603,12.5,4.54,Industrial & Commercial Services,38,HRNE.SI
Huationg Global,41B,0.084,10.74,14.888,145.934,1.82,,Industrial & Commercial Services,76,HUAT.SI
Hyphens Pharma,1J5,0.3,13.45,92.633,125.883,13.21,2.23,Pharmaceuticals & Medical Research,76,HYPH.SI
ICP Ltd,5I4,0.01,-4.8,31.117,5.121,,,Cyclical Consumer Services,53,ICPL.SI
IFAST,AIY,5.85,7.07,1680.033,212.419,136.98,0.84,Financial Technology (Fintech) & Infrastructure,80,IFAS.SI
IFS Capital,I49,0.179,3.64,67.299,44.003,10.56,4.36,Banking & Investment Services,63,IFAC.SI
IHH,Q0F,1.8,6.82,50986.992,17602.588,29.35,1.04,Healthcare Services,,IHHH.KL
Imperium Crown,5HT,0.016,-167.58,12.64,1.854,,,Real Estate,63,IMPE.SI
Inch Kenneth,I4R,0,-1.32,174.611,28.195,,,Cyclical Consumer Services,,IKEN.KL
Incredible,RDR,0.002,-66.88,5.987,11.621,,,Technology Equipment,74,INCR.SI
Indofood Agri,5JS,0.305,7.39,441.574,1632.813,5.73,2.62,Food & Beverages,70,IFAR.SI
Informatics,BOU,0.008,,1.419,6.501,,,Academic & Educational Services,56,INFO.SI
InnoTek,M14,0.47,1.42,115.929,173.72,42.42,4.26,Technology Equipment,85,INTK.SI
Interra Resource,5GI,0.032,24.83,20.976,28.906,2.03,,Energy - Fossil Fuels,68,INTR.SI
Intl Cement,KUO,0.023,10.77,131.899,188.809,5.41,,Mineral Resources,69,INTN.SI
Intraco,I06,0.265,-2.98,30.137,195.966,,,Industrial & Commercial Services,84,ITRS.SI
IPC Corp,AZA,0.11,-11.55,8.529,3.736,,,Cyclical Consumer Services,49,IPCC.SI
IPS Securex,42N,0.03,2.99,14.58,15.768,49.18,,Technology Equipment,54,IPSS.SI
ISDN,I07,0.405,12.51,177.649,413.685,7.28,3.58,Industrial Goods,76,ISDN.SI
ISEC,40T,0.35,15.78,200.281,58.839,16.61,4.37,Healthcare Services,83,ISEC.SI
Isetan,I15,2.99,1.29,123.338,90.263,89.07,1,Retailers,65,ISET.SI
ISOTeam,5WF,0.1,-33.58,34.837,99.878,,,Industrial & Commercial Services,57,ISOT.SI
iWOW Tech,NXR,0.235,40.79,58.851,34.077,11.79,1.53,Technology Equipment,,IWOW.SI
IX Biopharma,42C,0.126,-29.24,96.377,14.39,,,Pharmaceuticals & Medical Research,60,IXBI.SI
Jackspeed,J17,0.131,,40.323,0,,,Automobiles & Auto Parts,67,JACK.SI
Jadason,J03,0.021,-49.95,15.973,45.147,,,Technology Equipment,64,JADA.SI
Japan Foods,5OI,0.425,23.48,74.135,71.374,10.28,5.53,Cyclical Consumer Services,73,JPFD.SI
Japfa,UD2,0.515,3.74,1054.386,6754.335,15.01,1.96,Food & Beverages,71,JAPF.SI
Jardine C&C,C07,29,12.92,11789.898,27176.295,9.45,4.21,Automobiles & Auto Parts,105,JCYC.SI
Jason Marine,5PF,0.131,0.49,13.886,31.079,123.58,4.77,Technology Equipment,68,JMGL.SI
Jasper Inv,FQ7,0.002,,8.708,0,,,Energy - Fossil Fuels,47,JASP.SI
Jawala,1J7,0.092,1.89,10.9,6.045,50.1,3.26,Applied Resources,59,JAWA.SI
JB Foods,BEW,0.45,10.31,136.44,660.509,5.96,3.33,Food & Beverages,57,JBFO.SI
JEP,1J4,0.32,17,132.462,90.982,11.44,,Industrial & Commercial Services,58,JEPH.SI
JES Intl,EG0,0.026,,31.772,0,,,Industrial Goods,12,JSIH.SI
Jiutian Chemical,C8R,0.078,62.17,153.11,521.909,1.45,11.3,Chemicals,23,JUTN.SI
JMH USD,J36,48.88,8.5,14398.464,36647,6.03,4.25,Consumer Goods Conglomerates,,JARD.SI
Joyas Intl,E9L,0.002,-8.32,4.428,0.728,,,Banking & Investment Services,4,JIHL.SI
Jubilee,NHD,0.041,-14.37,12.71,231.073,,,Industrial Goods,63,JLJH.SI
Jumbo,42R,0.265,,163.168,49.591,,,Cyclical Consumer Services,64,JUMB.SI
Karin Tech,K29,0.32,4.62,68.723,346.621,19.35,664.53,Technology Equipment,69,KARI.SI
Katrina,1A0,0.033,,7.439,,,,Cyclical Consumer Services,39,KATR.SI
Kencana Agri,BNE,0.14,36.69,40.182,180.785,2.88,,Food & Beverages,57,KCAL.SI
Keong Hong,5TT,0.28,,67.918,,,,Industrial & Commercial Services,57,KEHO.SI
Keppel Corp,BN4,7.64,9.92,13799.828,8303.263,11.92,4.75,Consumer Goods Conglomerates,112,KPLM.SI
Khong Guan,K03,1.3,0.63,32.782,69.686,88.26,1.57,Food & Beverages,51,KHON.SI
Kim Heng,5G2,0.089,5.26,58.93,64.761,20.8,,Energy - Fossil Fuels,46,KIMH.SI
Kimly,1D0,0.35,23.07,443.751,317.748,12.96,3.94,Cyclical Consumer Services,74,KIML.SI
KingsmenCreative,5MZ,0.26,1.1,52.507,278.487,45.14,,Industrial & Commercial Services,73,KMEN.SI
Kitchen Culture,5TI,0.08,-29.73,33.652,10.787,,,Retailers,40,KCHL.SI
Koda,BJZ,0.38,11.1,33.295,107.369,4.32,2.5,Cyclical Consumer Products,71,KODA.SI
Koh Bros,K75,0.146,3.44,66.138,270.535,6.29,1.32,Industrial & Commercial Services,54,KBRO.SI
Koh Eco,5HV,0.035,1.4,92.988,172.973,45.83,0.76,Industrial & Commercial Services,51,KBEE.SI
KOP,5I1,0.05,-39.2,59.83,21.51,,,Cyclical Consumer Services,80,KOPL.SI
Kori,5VC,0.165,2.23,16.368,20.43,13.85,,Industrial & Commercial Services,70,KORI.SI
Koyo Intl,5OC,0.051,-10.68,10.002,32.505,,0.98,Industrial & Commercial Services,70,KOYO.SI
KrisEnergy,SK3,0.03,,45.872,61.426,,,Energy - Fossil Fuels,78,KRIS.SI
KSH,ER0,0.35,7.38,196.559,268.183,7.96,5.8,Industrial & Commercial Services,77,KSHH.SI
KTL Global,EB7,0.116,,40.122,1.045,,,Cyclical Consumer Services,57,KTLG.SI
KTMG,XCF,0.2,21.13,33.936,121.323,8.02,,Cyclical Consumer Products,64,KTMG.SI
Leader Env,LS9,0.056,-8.11,89.023,8.848,,,Industrial & Commercial Services,63,LETL.SI
Ley Choon,Q0X,0.017,17.94,25.598,107.17,3.96,,Industrial & Commercial Services,74,LEYC.SI
LHN,41O,0.295,27.64,120.639,111.772,2.63,5.42,Real Estate,88,LHNL.SI
LHN Logistics,GIH,0.135,,22.134,,,4.55,Transportation,,LHNO.SI
LHT,BEI,0.67,9.28,35.408,36.563,6.89,4.51,Applied Resources,80,LHTH.SI
Lian Beng,L03,0.505,5.77,275.475,788.336,5.98,5.77,Industrial & Commercial Services,66,LIBG.SI
LifeBrandz,1D3,0.002,-34.71,4.121,0.22,,,Cyclical Consumer Services,29,LIFE.SI
Lincotrade,BFT,0.173,-8.49,29.761,0,,,Chemicals,79,LINO.SI
Lion Asiapac,BAZ,0.3,-3.33,27.17,30.706,,,Mineral Resources,34,LIAS.SI
Livingstone,PRH,0.09,41.76,39.275,34.544,17.61,1.33,Healthcare Services,,LIVI.SI
LMS Compliance,LMS,0.275,,,,,,,,
Lonza,O6Z,79.97,10.52,37904.594,5849,41.68,0.59,Pharmaceuticals & Medical Research,,LONN.S
Lorenzo Intl,5IE,0.016,-168.79,6.756,27.54,,,Retailers,50,LRZI.SI
Low Keng Huat,F1E,0.39,-4.34,310.303,122.468,,4.76,Industrial & Commercial Services,75,LKH.SI
LS 2 Holdings,ENV,0.235,-0.74,40.7,58.229,22000,,Industrial & Commercial Services,,LS2H.SI
Lum Chang,L19,0.38,-4.85,150.162,416.79,,4.49,Industrial & Commercial Services,78,LUCS.SI
Luminor,5UA,0.1,13.21,15.827,6.759,5.22,,Real Estate,80,LUMI.SI
Lung Kee Bermuda,L09,0.73,7.44,1572.876,1991.925,9.78,10.44,Industrial Goods,,0255.HK
Luxking,BKK,0.18,1.8,2.277,110.567,5.4,,Chemicals,63,LUKG.SI
LY Corp,1H8,0.078,4.22,38.153,70.253,12.95,1.66,Cyclical Consumer Products,47,LYCO.SI
Magnus Energy,41S,0.001,50.63,12.941,15.49,,,Energy - Fossil Fuels,59,MAGN.SI
Man Oriental USD,M04,1.75,-0.12,2160.756,413.5,,,Cyclical Consumer Services,,MOIL.SI
MarcoPolo Marine,5LY,0.044,16.82,151.509,86.095,6.88,,Transportation,42,MAPM.SI
Maruwa Yen1k,M12,0,20.47,232593.594,59290,14.15,0.39,Technology Equipment,,5344.T
Mary Chia,5OX,0.028,,6.501,11.392,,,Personal & Household Products & Services,61,MARY.SI
Matex Intl,M15,0.024,-64.6,7.792,18.502,,,Chemicals,71,MATE.SI
MDR Limited,Y3D,0.069,-0.96,62.588,175.908,,6.62,Retailers,,MDRT.SI
Medi Lifestyle,5TN,0.011,,6.569,0.915,,,Healthcare Services,79,MEDL.SI
Medinex,OTX,0.21,8.09,27.865,12.673,19.55,7.1,Industrial & Commercial Services,77,MEDN.SI
MegaChem,5DS,0.505,14.5,67.316,148.167,8.16,3.96,Chemicals,73,MEGA.SI
MeGroup,SJY,0.09,11.12,10.757,116.638,8.11,4.28,Automobiles & Auto Parts,57,MEGR.SI
Memiontec Hldgs,TWL,0.3,11.81,214.751,34.925,101.88,0.21,Utilities,,MEMI.SI
Memories,1H4,0.044,,24.104,,,,Cyclical Consumer Services,,MEMO.SI
Mencast,5NF,0.044,24.83,19.453,46.684,2.86,,Energy - Fossil Fuels,58,MCHL.SI
Mercurius,5RF,0.041,-78.77,57.112,0,,,Real Estate,47,MERC.SI
Mermaid Maritime,DU4,0.08,-4.26,106,275.581,,,Energy - Fossil Fuels,49,MMPC.SI
Meta Health,5DX,0.025,26.3,14.106,41.553,2.12,,Retailers,61,META.SI
Metech Intl,V3M,0.115,-35.07,15.156,5.224,,,Industrial & Commercial Services,77,METE.SI
Metis Energy,L02,0.058,8.99,174.041,9.702,19.66,,Utilities,49,METIS.SI
Metro,M01,0.645,1.44,540.507,113.605,24.19,3.08,Retailers,83,MTHL.SI
Mewah Intl,MV4,0.3,10.8,442.697,6677.291,4.68,3.25,Food & Beverages,67,MEWI.SI
MFG Integration,M11,0.046,-14.52,11.091,12.173,,,Technology Equipment,72,MITD.SI
Micro-Mechanics,5DD,2.75,30.4,382.338,82.199,20.03,4.36,Technology Equipment,106,MMEC.SI
Midas,5EN,0.192,,366.628,,,,Mineral Resources,9,MIDA.SI
MindChamps,CNE,0.17,5.18,41.314,63.406,11.17,,Personal & Household Products & Services,69,MIND.SI
Miyoshi,M03,0.017,-20.52,11.551,47.446,,,Technology Equipment,74,MIYO.SI
MM2 Asia,1B0,0.046,-17.37,128.368,145.715,,,Cyclical Consumer Services,69,MM2A.SI
MoneyMax Fin,5WJ,0.205,21.51,90.661,242.281,3.75,4.63,Retailers,63,MFSL.SI
Mooreast,1V3,0.162,,41.958,,,,Mineral Resources,,MOOR.SI
Moya Asia,5WE,0.091,10.75,382.526,259.817,10.03,,Utilities,76,MOYA.SI
MS Hldgs,40U,0.069,-10.82,11.439,16.664,,14.49,Industrial & Commercial Services,62,MSHO.SI
MSC,NPW,0.47,22.88,651,1367.498,4.77,4.52,Mineral Resources,,MSCB.KL
MSM Intl,5QR,0.03,14.92,3.162,27.238,2.23,,Industrial Goods,71,MSML.SI
MTQ,M05,0.25,3.53,47.597,62.086,23.38,2.27,Energy - Fossil Fuels,72,MTLS.SI
Multi-Chem,AWZ,1.7,17.93,153.161,606.964,6.65,7.94,Technology Equipment,68,MCHE.SI
Mun Siong Engg,MF6,0.048,-0.36,28.496,74.649,,0.82,Industrial & Commercial Services,63,MSEL.SI
Murata Yen1k,PJX,0,13.75,5124024,1824671,15.75,1.91,Industrial Goods,,6981.T
MYP,F86,0.056,1.94,89.178,16.202,16.09,,Real Estate,66,MYPL.SI
Nam Cheong,N4E,0.004,,31.843,102.384,,,Industrial Goods,66,NMCG.SI
Nam Lee Metal,G0I,0.34,11.24,82.873,216.15,4.68,4.41,Cyclical Consumer Products,61,NLPM.SI
Nanofilm,MZH,1.32,14.26,889.014,261.358,14.02,1.57,Chemicals,,NANO.SI
Natural Cool,5IF,0.023,-27.39,5.76,143.337,,6.09,Industrial & Commercial Services,86,NCHL.SI
NauticAWT,42D,0.008,-76.29,6.353,0,,,Mineral Resources,54,NAUT.SI
NeraTel,N01,0.093,-23.79,33.656,120.668,,5.38,Technology Equipment,82,NERA.SI
Net Pacific Fin,5QY,0.023,-4.56,12.09,0.575,,,Banking & Investment Services,74,NPFH.SI
New Silkroutes,BMT,0.075,,15.893,39.828,,,Healthcare Services,60,NEWS.SI
New Toyo,N08,0.22,5.82,96.673,249.439,11.21,8.18,Applied Resources,67,NTYO.SI
New Wave,5FX,0.008,6.83,13.82,28.372,11.59,,Mineral Resources,68,NEWW.SI
Nico Steel,5GF,0.001,2.26,4.936,27.105,,,Mineral Resources,63,NICO.SI
NIO Inc. USD OV,NIO,12.05,-40.68,20195.813,6120.895,,,Automobiles & Auto Parts,,NIO.N
Nippecraft,N32,0.088,1.74,30.22,183.666,43.53,,Applied Resources,77,NIPP.SI
No Signboard,1G6,0.031,,14.334,5.451,,,Cyclical Consumer Services,57,NOSI.SI
Noble,CGP,0.081,,102.231,6694.902,,,Industrial & Commercial Services,8,NOBG.SI
Nomura Yen1k,N33,1.99,3.72,1615164.5,1753438,14.32,3.8,Banking & Investment Services,,8604.T
NoonTalk Media,SEJ,0.2,,41.58,,,,Cyclical Consumer Services,,NOON.SI
Nordic,MR7,0.48,17.97,190,133.656,10.41,3.73,Industrial & Commercial Services,65,NRGL.SI
Novo Tellus SPAC,NTA,4.33,,43.3,,,,Holding Companies,,NOVO.SI
NSL,N02,0.85,3.07,317.525,308.781,22.12,5.88,Mineral Resources,53,NATS.SI
NutryFarm,AZT,0.085,,11.681,17.221,,,Food & Beverages,43,NUTR.SI
OCBC Bank,O39,12.21,9.54,55758.051,7878,11.12,4.53,Banking & Investment Services,115,OCBC.SI
Ocean Sky Intl,1B6,0.037,-0.05,15.933,25.023,,,Industrial & Commercial Services,80,OCEA.SI
Oiltek,HQU,0.19,25.71,29.854,41.446,7.62,,Food & Beverages,,OILT.SI
OIO,KUX,0.055,-91.48,10.297,4.634,,,Financial Technology (Fintech) & Infrastructure,35,OIOH.SI
OKH Global,S3N,0.028,-34.3,30.474,16.458,,,Industrial & Commercial Services,79,OKHG.SI
OKP,5CF,0.162,1.43,49.966,98.564,28.83,4.32,Industrial & Commercial Services,63,OKPH.SI
Olam Group,VC2,1.43,,5418.102,,,,Food & Beverages,,OLAG.SI
Old Chang Kee,5ML,0.68,13.25,82.535,82.628,16.73,2.94,Cyclical Consumer Services,82,OCKL.SI
Olive Tree,1H2,0.101,-19.69,6.954,1.143,,,Real Estate,72,OLIV.SI
OneApex,5SY,0.153,0.19,12.928,0.929,695.45,,Real Estate,65,ONEA.SI
Ossia Intl,O08,0.1,20.88,29.81,27.525,3.1,7.63,Retailers,38,OSSA.SI
OTS Holdings,OTS,0.18,3.8,38.52,34.136,34.35,1.22,Food & Beverages,,OTSH.SI
OUE,LJ3,1.34,2.13,1126.387,300.806,14.2,1.53,Real Estate,62,OVES.SI
OUE Lippo HC,5WA,0.03,1.81,133.294,52.595,42.25,,Healthcare Services,87,OUEL.SI
Ouhua Energy,AJ2,0.068,12.59,26.064,818.791,4.64,,Energy - Fossil Fuels,53,OUEH.SI
Overseas Edu,RQ1,0.23,3.63,95.534,73.562,19.79,5.65,Academic & Educational Services,75,OVER.SI
Oxley,5UX,0.149,2.7,635.801,925.899,23.35,1.68,Real Estate,71,OXHL.SI
OxPay Financial,TVV,0.13,65.95,35.86,17.636,7.98,,Industrial & Commercial Services,,OXPA.SI
Pacific Andes,P11,0.022,3.95,183.543,1121.852,,,Food & Beverages,50,PACF.SI
Pacific Century,P15,0.385,10.75,1032.779,32.341,13.79,9.38,Holding Companies,67,PCEN.SI
Pacific Star Dev,1C5,0.043,,21.719,3.657,,,Real Estate,58,PACS.SI
PacificRadiance,RXS,0.029,,12.574,-18.418,0,,Energy - Fossil Fuels,,PACI.SI
Pan Hong,P36,0.106,-1.81,54.999,10.059,,14.15,Real Estate,60,PANH.SI
PanUnited,P52,0.41,12.36,291.328,648.361,11.51,3.86,Mineral Resources,87,PANU.SI
Parkson Retail,O9E,0.064,,39.961,213.34,0.9,,Retailers,62,PRAL.SI
PEC,IX2,0.58,5.97,149.593,427.982,10.53,4.27,Energy - Fossil Fuels,77,PECL.SI
Pegasus SPAC,PGS,4.31,,131.278,,,,Holding Companies,,PEGA.SI
Penguin Intl,BTM,0.72,10.26,158.522,151.951,8.25,3.13,Transportation,92,PGUN.SI
Pharmesis Intl,BFK,0.083,-2.87,1.909,8.913,,,Pharmaceuticals & Medical Research,68,PHAR.SI
PlatoCapital,YYN,1.16,-1.56,15.345,0.774,,,Software & IT Services,,PLAT.SI
PNE Industries,BDA,0.775,4.8,63.777,73.725,17.69,6.58,Industrial Goods,49,PNEI.SI
Polaris,5BI,0.003,-2.6,51.16,70.34,,,Retailers,66,POLA.SI
Pollux Prop,5AE,0.042,3.1,107.619,10.988,17.49,,Real Estate,64,PLPS.SI
Powermatic Data,BCY,2.65,12.41,97.129,27.922,11.34,3.77,Technology Equipment,69,PMDS.SI
Procurri,BVQ,0.41,8.09,121.192,249.628,27.26,,Software & IT Services,88,PROC.SI
PropNex,OYY,1.64,58.01,599.4,972.795,10.18,7.72,Real Estate,90,PROP.SI
Prudential USD,K6S,10,3.76,27933.039,1479.644,55.46,1.42,Insurance,,PRU.L
PSC Corporation,DM0,0.33,7.63,188.429,556.849,7.83,2.27,Applied Resources,87,PSCC.SI
Q&M Dental,QC7,0.325,16.09,318.736,186.725,18.71,9.8,Healthcare Services,89,QMDT.SI
QAF,Q01,0.83,5.65,480.349,560.826,16.72,5.99,Food & Beverages,74,QAFS.SI
Qian Hu,BCV,0.183,3.49,20.775,78.395,12.38,1.64,Food & Beverages,103,QIAN.SI
Quantum Health,V8Y,0.008,,48.252,,,,Healthcare Services,,QUAN.SI
Raffles Edu,NR7,0.052,1.43,75.839,105.371,7.41,,Academic & Educational Services,67,RLSE.SI
Raffles Infrastructure,LUY,0.055,8.06,3.738,13.269,1.19,,Industrial & Commercial Services,70,RAFL.SI
Raffles Medical,BSL,1.39,11.25,2590.144,762.28,24.78,1.3,Healthcare Services,92,RAFG.SI
